key,text,version,notes,verse,tag
Rebekah,Rebekah,0.1,,Genesis 22:23,bible
Leah,Leah,0.1,,Genesis 35:23,bible
Rahel,Rahel,0.1,,Genesis 35:24,bible
Zilpah,Zilpah,0.1,,Genesis 35:26,bible
Bilhah,Bilhah,0.1,,Genesis 35:25,bible
Bathsheba,Bathsheba,0.1,"wife of Uriah, granddaugher of Ahitophel",1 Chronicles 3:5,bible
Dinah,Dinah,0.2,,Genesis 30:21,bible
Abel,Abel,0.2,,Genesis 4:2,bible
Cain,Cain,0.2,,Genesis 4:2,bible
Asenath,Asenath,0.2,,Genesis 41:45,bible
Manasseh,Manasseh,0.2,,Genesis 41:51,bible
Ephraim,Ephraim,0.2,,Genesis 41:52,bible
Tamar,Tamar,0.3,,Genesis 38:6,bible
Naamah,Naamah,0.3,,1 Kings 14:21,bible
Maacah,Maacah,0.3,,1 Kings 15:2,bible
Azubah,Azubah,0.3,,1 Kings 22:42,bible
Athaliah,Athaliah,0.3,,2 Kings 8:26,bible
Zibiah,Zibiah,0.3,,2 Kings 12:1,bible
Jehoaddan_Jehoaddin,Jehoaddan (Jehoaddin),0.3,,2 Kings 14:2,bible
Jecoliah,Jecoliah,0.3,,2 Kings 15:2,bible
Jerusha_Jerushah,Jerusha (Jerushah),0.3,,2 Kings 15:33,bible
Abi_Abijah,Abi (Abijah),0.3,,2 Kings 18:2,bible
Hephzibah,Hephzibah,0.3,,2 Kings 21:1,bible
Meshullemeth,Me·shulʹle·meth,0.3,,2 Kings 21:19,bible
Jedidah,Jedidah,0.3,,2 Kings 22:1,bible
Hamutal,Hamutal,0.3,,2 Kings 23:31,bible
Nehushta,Nehushta,0.3,Nehushta,2 Kings 24:8,text
daughter_of_Neri,daughter of Neri,0.3,daughter of Neri,,bible
Rahab,Rahab,0.4,Rahab,Joshua 2:1,bible
Ruth,Ruth,0.4,Ruth,Ruth 1:4,bible
Othniel,Othniel,0.5,from Judah (1),Judges 3:9-11,bible
Ehud,Ehud,0.5,from Benjamin (2),Judges 3:15-18,bible
Schamgar,Schamgar,0.5,from Naphtali (3),Judges 3:31,bible
Barak,Barak,0.5,from Naphtali (4),Judges 4:6,bible
Gideon,Gideon,0.5,from Manasseh (5),Judges 7:1,bible
Tola,Tola,0.4,from Issachar (6),Judges 10:1,bible
Jair,Jair,0.5,from Juda (7),Judges 10:3,bible
Jephthah,Jephthah,0.5,from Manasseh (8),Judges 11:1,bible
Ibzan,Ibzan,0.5,from Zebulon (9),Judges 12:8,bible
Elon,Elon,0.5,from Zebulon (10),Judges 12:11,bible
Abdon,Abdon,0.5,from Ephraim (11),Judges 12:13,bible
Samson,Samson,0.5,from Dan (12),Judges 13:24,
page2_title,Page 2,Page 2,,,
page2_subtitle,covenants and possible interruptions,covenants and possible interruptions,,,
page2_text1,Text 1,Text 1,,,
page2_text2,Text 2,Text 2,,,
page2_text3,Text 3,Text 3,,,
page2_text4,Text 4,Text 4,,,
