key,text,english,notes,verse,tag,checked,date,checked_by
Matthan,Matʹthan,Matthan,,Matthew 1:15,bible,TRUE,2026-06-06,Matthias
Jacob,Jacob,Jacob,,Matthew 1:15,bible,TRUE,2026-06-06,Matthias
Joseph,Joseph,Joseph,,Matthew 1:16,bible,TRUE,2026-06-06,Matthias
Eve,Eve,Eve,,Genesis 4:1,bible,TRUE,2026-06-06,Matthias
Sarah,Sarah,Sarah,,Genesis 17:15,bible,TRUE,2026-06-06,Matthias
Rebekah,Re·bekʹah,Rebekah,,Genesis 22:23,bible,TRUE,2026-06-06,Matthias
Leah,Leʹah,Leah,,Genesis 35:23,bible,TRUE,2026-06-06,Matthias
Rahel,Rahel,Rahel,,Genesis 35:24,bible,TRUE,2026-06-06,Matthias
Zilpah,Zilʹpah,Zilpah,,Genesis 35:26,bible,TRUE,2026-06-06,Matthias
Bilhah,Bilʹhah,Bilhah,,Genesis 35:25,bible,TRUE,2026-06-06,Matthias
Bathsheba,Bath-sheʹba,Bathsheba,"wife of Uriah, granddaugher of Ahitophel",1 Chronicles 3:5,bible,TRUE,2026-06-06,Matthias
Dinah,Diʹnah,Dinah,,Genesis 30:21,bible,TRUE,2026-06-06,Matthias
Abel,Aʹbel,Abel,,Genesis 4:2,bible,TRUE,2026-06-06,Matthias
Cain,Cain,Cain,,Genesis 4:2,bible,TRUE,2026-06-06,Matthias
Asenath,Asʹe·nath,Asenath,,Genesis 41:45,bible,TRUE,2026-06-06,Matthias
Manasseh,Ma·nasʹseh,Manasseh,,Genesis 41:51,bible,TRUE,2026-06-06,Matthias
Ephraim,Eʹphra·im,Ephraim,,Genesis 41:52,bible,TRUE,2026-06-06,Matthias
Tamar,Taʹmar,Tamar,,Genesis 38:6,bible,TRUE,2026-06-06,Matthias
Naamah,Naʹa·mah [Ammon],Naamah,,1 Kings 14:21,bible,TRUE,2026-06-06,Matthias
Maacah,Maʹa·cah,Maacah,,1 Kings 15:2,bible,TRUE,2026-06-06,Matthias
Azubah,A·zuʹbah,Azubah,,1 Kings 22:42,bible,TRUE,2026-06-06,Matthias
Athaliah,Ath·a·liʹah,Athaliah,,2 Kings 8:26,bible,TRUE,2026-06-06,Matthias
Zibiah,Zibʹi·ah,Zibiah,,2 Kings 12:1,bible,TRUE,2026-06-06,Matthias
Jehoaddan_Jehoaddin,Je·ho·adʹdan (Je·ho·adʹdin),Jehoaddan (Jehoaddin),,2 Kings 14:2,bible,TRUE,2026-06-06,Matthias
Jecoliah,Je·co·liʹah,Jecoliah,,2 Kings 15:2,bible,TRUE,2026-06-06,Matthias
Jerusha_Jerushah,Je·ruʹsha[h],Jerusha (Jerushah),,2 Kings 15:33,bible,TRUE,2026-06-06,Matthias
Abi_Abijah,Abi (A·biʹjah),Abi (Abijah),,2 Kings 18:2,bible,TRUE,2026-06-06,Matthias
Hephzibah,Hephʹzi·bah,Hephzibah,,2 Kings 21:1,bible,TRUE,2026-06-06,Matthias
Meshullemeth,Me·shulʹle·meth,Me·shulʹle·meth,,2 Kings 21:19,bible,TRUE,2026-06-06,Matthias
Jedidah,Je·diʹdah,Jedidah,,2 Kings 22:1,bible,TRUE,2026-06-06,Matthias
Hamutal,Ha·muʹtal,Hamutal,,2 Kings 23:31,bible,TRUE,2026-06-06,Matthias
Nehushta,Ne·hushʹta,Nehushta,,2 Kings 24:8,bible,TRUE,2026-06-06,Matthias
daughter_of_Neri,daughter of Neri,daughter of Neri,,,text,TRUE,2026-06-06,Matthias
Rahab,Raʹhab,Rahab,,Joshua 2:1,bible,TRUE,2026-06-06,Matthias
Ruth,Ruth [Moab],Ruth,,Ruth 1:4,bible,TRUE,2026-06-06,Matthias
Othniel,Othʹni·el,Othniel,from Judah (1),Judges 3:9-11,bible,TRUE,2026-06-06,Matthias
Ehud,Eʹhud,Ehud,from Benjamin (2),Judges 3:15-18,bible,TRUE,2026-06-06,Matthias
Shamgar,Shamʹgar,Shamgar,from Naphtali (3),Judges 3:31,bible,TRUE,2026-06-06,Matthias
Barak,Baʹrak,Barak,"from Naphtali (4), Deborah, Jael",Judges 4:6,bible,TRUE,2026-06-06,Matthias
Gideon,Gidʹe·on,Gideon,from Manasseh (5),Judges 7:1,bible,TRUE,2026-06-06,Matthias
Tola,Toʹla,Tola,from Issachar (6),Judges 10:1,bible,TRUE,2026-06-06,Matthias
Jair,Jaʹir,Jair,from Juda (7),Judges 10:3,bible,TRUE,2026-06-06,Matthias
Jephthah,Jephʹthah,Jephthah,from Manasseh (8),Judges 11:1,bible,TRUE,2026-06-06,Matthias
Ibzan,Ibʹzan,Ibzan,from Zebulon (9),Judges 12:8,bible,TRUE,2026-06-06,Matthias
Elon,Eʹlon,Elon,from Zebulon (10),Judges 12:11,bible,TRUE,2026-06-06,Matthias
Abdon,Abʹdon,Abdon,from Ephraim (11),Judges 12:13,bible,TRUE,2026-06-06,Matthias
Samson,Samson,Samson,from Dan (12),Judges 13:24,bible,TRUE,2026-06-06,Matthias
page2_title,Page 2,Page 2,,,,,,
page2_subtitle,covenants and possible interruptions,covenants and possible interruptions,,,,,,
page2_text1,Text 1,Text 1,,,,,,
page2_text2,Text 2,Text 2,,,,,,
page2_text3,Text 3,Text 3,,,,,,
page2_text4,Text 4,Text 4,,,,,,
